2016-11-21 17:31:36.037 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now in the armed state
2016-11-21 17:31:36.640 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
2016-11-21 17:33:07.770 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 17:33:08.005 INFO  NServiceBus.LicenseManager License expires on 21/12/2016 12:00:00 AM
2016-11-21 17:33:08.267 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 17:33:08.333 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:33:08.341 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:33:08.350 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:33:35.249 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now in the armed state
2016-11-21 17:33:42.756 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
2016-11-21 17:33:42.850 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now in the armed state
2016-11-21 17:33:42.937 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now in the armed state
2016-11-21 17:33:54.830 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now disarmed
2016-11-21 17:33:54.842 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now disarmed
2016-11-21 17:33:54.873 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now disarmed
2016-11-21 17:33:54.882 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now disarmed
2016-11-21 17:34:10.734 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now in the armed state
2016-11-21 17:34:11.468 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now in the armed state
2016-11-21 17:34:15.165 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now in the armed state
2016-11-21 17:34:15.167 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now in the armed state
2016-11-21 17:34:43.754 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.TimeoutsDispatcher MessagePump' is now disarmed
2016-11-21 17:34:43.835 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV MessagePump' is now disarmed
2016-11-21 17:34:43.900 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Retries MessagePump' is now disarmed
2016-11-21 17:34:44.431 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Q_OB_ASSESS_DEV.Timeouts MessagePump' is now disarmed
2016-11-21 17:44:40.794 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 17:44:41.021 INFO  NServiceBus.LicenseManager License expires on 21/12/2016 12:00:00 AM
2016-11-21 17:44:41.208 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 17:44:41.262 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:44:41.270 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:44:41.279 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:50:07.393 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 17:50:07.933 INFO  NServiceBus.LicenseManager License expires on 21/12/2016 12:00:00 AM
2016-11-21 17:50:08.241 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 17:50:08.289 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:50:08.297 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:50:08.305 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:55:27.961 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 17:55:28.142 INFO  NServiceBus.LicenseManager License expires on 21/12/2016 12:00:00 AM
2016-11-21 17:55:28.314 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 17:55:28.355 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:55:28.364 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:55:28.372 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:56:55.977 INFO  DefaultFactory Logging to 'H:\SampleApplications\NServiceBus\OrchestrationBus\OrchestrationBus.Assess\bin\Debug\' with level Info
2016-11-21 17:56:56.176 INFO  NServiceBus.LicenseManager License expires on 21/12/2016 12:00:00 AM
2016-11-21 17:56:56.299 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'PETSURE\kumars' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "PETSURE\kumars" /add
2016-11-21 17:56:56.342 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:56:56.351 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-21 17:56:56.359 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
